#trial,map_id,start_x,start_y,start_z,end_x,end_y,end_z
0,0,-1.723340,-4.168233,1.000000,3.230813,0.271203,1.000000
1,0,-2.338555,-4.092671,1.000000,-4.262509,0.007071,1.000000
2,0,3.206417,0.243961,1.000000,-4.050710,-0.278362,1.000000
3,0,-2.270290,3.237644,1.000000,-2.571202,-4.193711,1.000000
4,0,-2.137596,3.417367,1.000000,1.454220,1.073316,1.000000
5,0,-2.691655,1.346439,1.000000,-2.304052,-4.200032,1.000000
6,0,2.958314,0.384629,1.000000,-3.079680,-0.177667,1.000000
7,0,-4.413772,-2.265092,1.000000,0.088012,-0.785570,1.000000
8,0,-3.183203,-0.087088,1.000000,3.218541,4.021955,1.000000
9,0,3.536284,4.318409,1.000000,-3.717116,-3.571907,1.000000
10,0,2.671664,2.656572,1.000000,-2.025232,1.926374,1.000000
11,0,-2.824278,2.352646,1.000000,0.544998,-0.212569,1.000000
12,0,2.983385,1.758620,1.000000,-3.407156,-4.066370,1.000000
13,0,3.341708,4.085745,1.000000,1.170387,0.690645,1.000000
14,0,1.586246,0.041060,1.000000,-4.142995,-1.309709,1.000000
15,0,-3.187884,1.226596,1.000000,-2.690808,-4.404404,1.000000
16,0,2.311181,4.011493,1.000000,-2.876208,-0.421827,1.000000
17,0,2.548557,3.589783,1.000000,-2.892426,-3.003389,1.000000
18,0,-2.162443,-4.185879,1.000000,2.425929,2.595580,1.000000
19,0,-3.434542,-4.340625,1.000000,-3.472323,0.667766,1.000000
20,0,2.579460,2.982161,1.000000,-1.492093,2.398132,1.000000
21,0,3.151269,3.372450,1.000000,-0.990595,1.066535,1.000000
22,0,-4.042004,-3.960163,1.000000,-2.821919,2.015590,1.000000
23,0,3.070211,1.040266,1.000000,-1.622424,1.927686,1.000000
24,0,-3.166744,-3.461483,1.000000,2.681281,4.289333,1.000000
25,0,2.741337,3.643028,1.000000,-2.574952,2.787346,1.000000
26,0,3.163105,2.309443,1.000000,-2.870731,1.626372,1.000000
27,0,0.786624,0.793471,1.000000,-2.184581,3.742109,1.000000
28,0,2.356382,3.715827,1.000000,-2.703641,-0.086540,1.000000
29,0,-1.357061,1.870768,1.000000,-3.939060,-3.784398,1.000000
30,0,-3.604072,-3.643132,1.000000,0.709882,0.992634,1.000000
31,0,0.679451,-0.471163,1.000000,-3.029278,-3.079007,1.000000
32,0,-3.697334,-1.096627,1.000000,0.188644,0.546203,1.000000
33,0,2.736420,1.018560,1.000000,-1.526376,-3.798895,1.000000
34,0,2.696743,4.155784,1.000000,-2.667553,-3.560219,1.000000
35,0,-4.162129,-2.899761,1.000000,0.395068,-0.097716,1.000000
36,0,3.175588,2.108106,1.000000,-3.016565,0.598796,1.000000
37,0,-2.071958,-3.392336,1.000000,-2.867174,1.406998,1.000000
38,0,0.766832,-1.862598,1.000000,-3.713927,0.036766,1.000000
39,0,1.729041,0.000090,1.000000,-2.517918,1.345165,1.000000
40,0,-3.138763,-3.190842,1.000000,2.613176,-0.343155,1.000000
41,0,-4.304208,-0.825435,1.000000,2.177079,0.171247,1.000000
42,0,1.618382,0.141777,1.000000,-3.728293,-1.418622,1.000000
43,0,-2.965416,0.256509,1.000000,2.095628,1.226721,1.000000
44,0,2.309861,1.838137,1.000000,-3.650838,0.370413,1.000000
45,0,3.471851,1.395278,1.000000,-3.853366,-3.523959,1.000000
46,0,-2.576216,1.543684,1.000000,-1.564494,-4.448030,1.000000
47,0,2.850790,3.233079,1.000000,-2.691679,0.958486,1.000000
48,0,-3.013553,1.208013,1.000000,-3.848633,-3.979325,1.000000
49,0,-1.719985,2.216218,1.000000,1.326141,-1.545365,1.000000
50,0,-1.406688,-2.212170,1.000000,2.704413,3.073069,1.000000
51,0,3.929388,1.224134,1.000000,-3.230412,-3.532073,1.000000
52,0,-2.856952,3.214195,1.000000,2.216332,-0.102999,1.000000
53,0,-3.694940,-0.854063,1.000000,2.306945,2.832543,1.000000
54,0,-3.782298,0.910455,1.000000,2.697303,3.568559,1.000000
55,0,2.951212,1.025767,1.000000,-4.063731,0.871387,1.000000
56,0,0.733521,-1.711905,1.000000,-3.262336,-0.078209,1.000000
57,0,-3.135508,1.515244,1.000000,1.147160,0.319486,1.000000
58,0,-4.223204,0.618691,1.000000,4.272998,-3.720373,1.000000
59,0,4.238465,-4.112021,1.000000,0.812188,0.439621,1.000000
60,0,-2.672577,1.996622,1.000000,-2.007113,-3.556564,1.000000
61,0,1.353080,1.210957,1.000000,-3.583623,0.042405,1.000000
62,0,2.328962,2.858820,1.000000,-2.997947,3.511127,1.000000
63,0,1.155546,1.266448,1.000000,-2.805852,2.051000,1.000000
64,0,-0.187412,0.162370,1.000000,4.238186,1.197714,1.000000
65,0,-4.420999,-3.737934,1.000000,2.550382,4.276350,1.000000
66,0,2.541455,4.230921,1.000000,-3.876477,-1.954336,1.000000
67,0,-4.036474,-1.025941,1.000000,2.576486,3.007115,1.000000
68,0,2.676418,2.564115,1.000000,-1.461408,-1.880683,1.000000
69,0,-2.539215,3.416655,1.000000,-0.061902,-0.383567,1.000000
70,0,3.390956,1.789566,1.000000,-4.259101,-2.716350,1.000000
71,0,-2.774888,2.457989,1.000000,2.608626,3.173416,1.000000
72,0,0.499769,-0.384450,1.000000,-1.956157,2.867998,1.000000
73,0,2.812721,3.399686,1.000000,-2.623963,-0.947723,1.000000
74,0,-1.617409,-3.789596,1.000000,2.820328,1.244759,1.000000
75,0,-2.248705,-3.990340,1.000000,-4.205997,-0.194226,1.000000
76,0,-4.194688,-0.128031,1.000000,2.657390,2.749553,1.000000
77,0,2.704355,2.091564,1.000000,-3.810908,0.070302,1.000000
78,0,1.123804,-2.222395,1.000000,-2.732257,-1.035636,1.000000
79,0,-4.098283,0.151110,1.000000,2.421848,3.991427,1.000000
80,0,1.110854,0.128389,1.000000,-2.729063,2.631108,1.000000
81,0,-2.230995,3.663545,1.000000,3.416682,4.180111,1.000000
82,0,2.207076,4.330302,1.000000,-4.154424,-3.396438,1.000000
83,0,3.189933,3.200976,1.000000,0.054718,-0.357276,1.000000
84,0,3.010891,4.040573,1.000000,-0.051838,-1.234517,1.000000
85,0,-4.082956,-2.237216,1.000000,1.422474,-2.477199,1.000000
86,0,-3.885334,-0.808435,1.000000,1.194057,-1.488275,1.000000
87,0,-0.028638,-1.322296,1.000000,-3.985394,-2.512052,1.000000
88,0,-2.735992,-3.824640,1.000000,-3.617516,0.413658,1.000000
89,0,2.747693,0.482047,1.000000,-3.424816,-0.877746,1.000000
90,0,-2.659845,-4.021755,1.000000,-3.776394,0.151870,1.000000
91,0,-2.855562,-3.426128,1.000000,-2.354299,1.291758,1.000000
92,0,-2.134485,-4.282060,1.000000,-2.863626,1.031409,1.000000
93,0,-2.925827,-4.379073,1.000000,2.597871,2.420288,1.000000
94,0,-2.617149,3.571312,1.000000,-1.604908,-3.691183,1.000000
95,0,-1.772290,3.126570,1.000000,-3.776466,-1.069044,1.000000
96,0,-2.679785,0.851626,1.000000,2.762204,4.359383,1.000000
97,0,-4.218116,-3.879086,1.000000,-0.698607,-1.480624,1.000000
98,0,1.560030,-0.567563,1.000000,-2.347718,1.909270,1.000000
99,0,-4.137070,-1.741387,1.000000,3.140965,0.202447,1.000000
100,1,-4.279673,1.535474,1.000000,4.092404,1.031117,1.000000
101,1,3.050024,1.751819,1.000000,-3.326010,-0.245454,1.000000
102,1,1.719656,2.258834,1.000000,-3.347292,2.071235,1.000000
103,1,4.090154,3.212614,1.000000,-0.159123,-4.387106,1.000000
104,1,2.380081,2.029420,1.000000,-4.112964,3.411044,1.000000
105,1,0.827805,2.913584,1.000000,-3.991563,3.795677,1.000000
106,1,-3.877902,4.105505,1.000000,3.279749,2.739809,1.000000
107,1,1.294443,-4.291486,1.000000,2.429480,2.270002,1.000000
108,1,4.248344,1.922837,1.000000,-3.398509,1.258350,1.000000
109,1,-4.121294,3.405125,1.000000,1.165535,-0.851670,1.000000
110,1,0.382180,3.298750,1.000000,-4.374231,2.305654,1.000000
111,1,0.420403,-4.286487,1.000000,-3.138527,0.784875,1.000000
112,1,3.433830,2.389211,1.000000,1.252959,-1.524723,1.000000
113,1,0.651271,-4.092977,1.000000,4.395916,2.153492,1.000000
114,1,-3.504482,0.175418,1.000000,0.922944,1.921983,1.000000
115,1,1.096562,-0.084563,1.000000,-3.093971,-0.378488,1.000000
116,1,-3.395563,0.770388,1.000000,0.941259,-0.263001,1.000000
117,1,-3.610927,1.157487,1.000000,1.286418,0.827301,1.000000
118,1,-3.202239,-0.034541,1.000000,-1.276517,-4.426168,1.000000
119,1,2.470149,-4.205664,1.000000,4.122229,2.298485,1.000000
120,1,3.364849,3.015444,1.000000,1.423698,-1.906448,1.000000
121,1,-2.834197,-4.350584,1.000000,-3.938820,0.247435,1.000000
122,1,4.261501,3.042970,1.000000,0.002638,4.338612,1.000000
123,1,1.829700,1.775852,1.000000,-3.673346,2.069707,1.000000
124,1,-4.033950,1.410668,1.000000,1.090812,3.271438,1.000000
125,1,-4.112542,0.514257,1.000000,2.164706,2.218042,1.000000
126,1,-4.464146,1.095422,1.000000,1.108609,2.386740,1.000000
127,1,0.557728,3.726948,1.000000,1.152444,-0.867111,1.000000
128,1,4.292938,1.406872,1.000000,-3.104090,-0.440639,1.000000
129,1,1.103753,0.769527,1.000000,-3.713115,3.680162,1.000000
130,1,0.987859,2.952763,1.000000,0.873798,-4.080777,1.000000
131,1,0.485291,-3.718401,1.000000,-2.611450,-0.641207,1.000000
132,1,-3.413991,1.055912,1.000000,0.404970,-3.663634,1.000000
133,1,-3.590705,1.025946,1.000000,0.900432,3.561718,1.000000
134,1,-4.109479,1.981792,1.000000,1.216366,3.456093,1.000000
135,1,1.309040,1.039363,1.000000,-4.217269,0.360367,1.000000
136,1,-3.356367,-0.464310,1.000000,2.591880,1.725830,1.000000
137,1,0.279442,-3.426135,1.000000,-4.121384,1.898001,1.000000
138,1,1.732178,2.709513,1.000000,-4.013733,1.186150,1.000000
139,1,4.066854,1.611854,1.000000,-0.952847,-4.493537,1.000000
140,1,0.693995,3.974680,1.000000,-3.525861,0.854440,1.000000
141,1,-3.966114,1.530002,1.000000,0.706408,2.598606,1.000000
142,1,3.745649,3.118361,1.000000,0.217519,-4.155040,1.000000
143,1,-4.286309,0.008617,1.000000,2.466379,2.440190,1.000000
144,1,-4.000462,4.231100,1.000000,1.087686,0.735995,1.000000
145,1,2.985836,2.952010,1.000000,-2.798261,-0.375503,1.000000
146,1,-2.154108,-4.101304,1.000000,-0.131836,4.239385,1.000000
147,1,3.528458,2.798230,1.000000,-2.255273,-4.376347,1.000000
148,1,-4.014235,2.750576,1.000000,2.473123,-4.215905,1.000000
149,1,0.124595,4.062374,1.000000,-3.300966,0.668346,1.000000
150,1,-3.769830,0.469553,1.000000,3.472557,3.260445,1.000000
151,1,-3.962630,0.085722,1.000000,-3.613727,4.088137,1.000000
152,1,1.362771,4.096172,1.000000,-3.600184,1.702043,1.000000
153,1,-3.400822,2.388765,1.000000,1.158775,-4.472786,1.000000
154,1,2.715716,3.034156,1.000000,-3.859506,3.279884,1.000000
155,1,1.860718,3.086161,1.000000,-3.632756,4.272558,1.000000
156,1,1.138787,-0.412956,1.000000,3.150654,3.047434,1.000000
157,1,3.482018,2.278181,1.000000,1.652771,-1.881010,1.000000
158,1,-3.169532,-0.321400,1.000000,1.150958,4.143449,1.000000
159,1,0.743390,4.157269,1.000000,-3.637704,1.117228,1.000000
160,1,1.256641,0.369336,1.000000,1.297413,-4.384451,1.000000
161,1,1.007359,0.683776,1.000000,-2.470061,-4.316952,1.000000
162,1,-3.866646,3.284425,1.000000,-2.428206,-0.857839,1.000000
163,1,0.046147,-4.405672,1.000000,-3.007700,-0.422117,1.000000
164,1,-4.402760,2.811950,1.000000,4.074641,2.496140,1.000000
165,1,-4.391992,3.793530,1.000000,-2.647781,-1.249684,1.000000
166,1,3.094063,1.915430,1.000000,-3.409793,1.613449,1.000000
167,1,-3.271182,1.241593,1.000000,4.360177,1.499061,1.000000
168,1,-2.136234,-3.691912,1.000000,1.012682,0.152169,1.000000
169,1,0.388908,-3.626180,1.000000,1.096630,1.065679,1.000000
170,1,-2.554338,-0.754079,1.000000,0.373428,-3.797939,1.000000
171,1,-4.049258,4.118309,1.000000,0.787331,2.665447,1.000000
172,1,0.751828,-4.019372,1.000000,-3.361036,1.060841,1.000000
173,1,4.432219,2.307571,1.000000,-2.132670,-3.786768,1.000000
174,1,3.323186,2.783377,1.000000,-4.129722,1.764746,1.000000
175,1,0.752888,3.782566,1.000000,4.060882,1.237416,1.000000
176,1,0.262156,-3.941275,1.000000,-3.905477,0.654997,1.000000
177,1,-4.004844,0.579643,1.000000,1.194211,1.112506,1.000000
178,1,0.479895,-4.412716,1.000000,-3.766643,4.035025,1.000000
179,1,3.480232,2.250906,1.000000,-4.174788,4.330842,1.000000
180,1,-4.274328,1.368184,1.000000,0.657676,3.561862,1.000000
181,1,0.075808,4.102980,1.000000,-3.737006,2.140383,1.000000
182,1,1.468628,3.231668,1.000000,-4.360047,0.688644,1.000000
183,1,-0.864192,-4.466626,1.000000,1.222871,2.790315,1.000000
184,1,3.470764,3.122975,1.000000,-3.155148,1.426538,1.000000
185,1,-3.667395,2.090627,1.000000,0.320947,4.157567,1.000000
186,1,-0.958196,-4.405293,1.000000,-3.800705,1.547931,1.000000
187,1,-4.198092,2.668489,1.000000,0.465094,-3.170185,1.000000
188,1,2.571686,2.322413,1.000000,1.218872,-4.410804,1.000000
189,1,-3.660256,2.069807,1.000000,0.582836,-4.282031,1.000000
190,1,3.489736,2.000251,1.000000,-0.131847,4.055621,1.000000
191,1,1.383530,2.980374,1.000000,0.676839,-4.371068,1.000000
192,1,2.104604,2.077014,1.000000,1.199259,-4.051217,1.000000
193,1,0.959132,0.136452,1.000000,-4.389576,4.390238,1.000000
194,1,1.832692,2.051431,1.000000,-3.312257,0.892666,1.000000
195,1,-3.595362,2.744175,1.000000,2.230187,2.760679,1.000000
196,1,0.638080,4.215017,1.000000,-1.086124,-4.491909,1.000000
197,1,-4.046896,3.818037,1.000000,4.120484,2.978636,1.000000
198,1,0.919926,1.191066,1.000000,-2.518661,-1.138128,1.000000
199,1,-3.447381,-0.127869,1.000000,2.593074,1.787397,1.000000
200,2,-0.910768,2.729434,1.000000,4.385792,2.004155,1.000000
201,2,-1.638195,-3.142284,1.000000,-1.991282,2.520973,1.000000
202,2,-1.140794,-3.322296,1.000000,0.332237,3.904916,1.000000
203,2,4.402390,0.968670,1.000000,-0.956030,2.003524,1.000000
204,2,0.492308,4.226705,1.000000,-4.172800,-2.250091,1.000000
205,2,2.083444,-3.562597,1.000000,-1.367670,3.574024,1.000000
206,2,3.589091,1.859441,1.000000,-0.651283,3.883231,1.000000
207,2,-1.440673,-3.397895,1.000000,-3.597142,2.828504,1.000000
208,2,-1.419425,3.724421,1.000000,-1.601924,-3.529243,1.000000
209,2,0.337777,-2.977647,1.000000,0.172652,1.761212,1.000000
210,2,3.903465,-4.460921,1.000000,-0.126942,-3.515101,1.000000
211,2,3.049106,-3.669807,1.000000,-0.945235,3.429094,1.000000
212,2,-3.358244,-2.004735,1.000000,-1.968673,2.521175,1.000000
213,2,4.366391,-4.072520,1.000000,0.127557,3.845282,1.000000
214,2,-0.365525,-3.378714,1.000000,-1.658705,2.148256,1.000000
215,2,1.326429,3.284522,1.000000,2.123295,-3.784968,1.000000
216,2,-0.127864,0.983053,1.000000,4.298002,-3.472675,1.000000
217,2,3.467394,-3.508633,1.000000,-3.266551,-0.928060,1.000000
218,2,-0.492272,-3.623136,1.000000,-3.544752,3.348265,1.000000
219,2,-1.397381,4.213707,1.000000,-1.052715,-2.980673,1.000000
220,2,-1.625941,2.803771,1.000000,3.586980,-3.620543,1.000000
221,2,3.826161,-3.709046,1.000000,-1.839483,3.801913,1.000000
222,2,-0.560952,2.079671,1.000000,0.018229,-3.625388,1.000000
223,2,0.016901,4.058190,1.000000,-3.496851,-1.582086,1.000000
224,2,-3.154727,-1.492790,1.000000,-0.365196,2.150773,1.000000
225,2,0.850386,2.445613,1.000000,-1.940984,-2.120326,1.000000
226,2,-1.787494,-2.415813,1.000000,-0.729905,2.494463,1.000000
227,2,1.291336,3.478691,1.000000,-2.580561,-1.490898,1.000000
228,2,4.260510,-3.602387,1.000000,-4.064766,3.478534,1.000000
229,2,3.285932,-3.345573,1.000000,-3.806524,3.758543,1.000000
230,2,0.770637,2.096292,1.000000,-3.231725,4.404375,1.000000
231,2,-4.028534,2.424299,1.000000,0.943150,1.520589,1.000000
232,2,-3.902419,2.044503,1.000000,-3.839629,-2.647005,1.000000
233,2,0.239330,2.421218,1.000000,-3.839920,2.471297,1.000000
234,2,0.676016,1.793085,1.000000,-3.939537,-1.794217,1.000000
235,2,-0.727299,-3.708079,1.000000,4.492273,1.639039,1.000000
236,2,0.112048,3.184532,1.000000,-3.573010,-1.570770,1.000000
237,2,-4.306680,-2.363342,1.000000,-0.178098,-3.298427,1.000000
238,2,-2.470751,4.084525,1.000000,-0.480945,-3.235590,1.000000
239,2,0.666785,-3.346685,1.000000,-1.559812,4.235704,1.000000
240,2,-0.496080,2.387374,1.000000,1.556236,-4.341359,1.000000
241,2,-1.556860,3.854416,1.000000,-0.587426,-2.861552,1.000000
242,2,4.260483,-4.054595,1.000000,-2.940282,2.673911,1.000000
243,2,0.283314,1.655526,1.000000,-4.499660,4.213535,1.000000
244,2,-1.708622,3.188237,1.000000,2.353554,-3.811288,1.000000
245,2,3.607227,-3.339634,1.000000,-4.248375,-2.441960,1.000000
246,2,-0.253391,1.261093,1.000000,-4.200079,-0.723733,1.000000
247,2,-2.020968,3.596742,1.000000,-1.409700,-2.830857,1.000000
248,2,-1.460331,-3.783221,1.000000,-3.798306,1.872438,1.000000
249,2,0.364275,2.377904,1.000000,-4.326554,3.606749,1.000000
250,2,0.361268,1.832237,1.000000,-0.627312,-3.232263,1.000000
251,2,-3.244902,2.933073,1.000000,-1.882721,-2.887665,1.000000
252,2,3.552433,-4.260913,1.000000,0.426098,1.425235,1.000000
253,2,-1.002762,-3.429294,1.000000,0.385714,2.701675,1.000000
254,2,-2.685009,3.057451,1.000000,-1.284796,-3.571500,1.000000
255,2,3.668493,-3.631118,1.000000,3.060142,1.803092,1.000000
256,2,0.911916,-3.421389,1.000000,1.724329,0.803807,1.000000
257,2,2.094100,-4.469597,1.000000,-3.210391,2.964865,1.000000
258,2,-1.109407,4.196045,1.000000,1.626499,-3.434589,1.000000
259,2,-3.154444,3.259617,1.000000,-4.145400,-1.729619,1.000000
260,2,4.417654,-2.487720,1.000000,0.586277,3.551394,1.000000
261,2,0.937368,4.336884,1.000000,-1.117619,-3.826281,1.000000
262,2,0.167367,2.935912,1.000000,3.457284,-3.426623,1.000000
263,2,3.538791,-3.540114,1.000000,0.920509,0.995942,1.000000
264,2,-1.298476,-3.481037,1.000000,-4.273081,2.326105,1.000000
265,2,-0.733229,-3.383779,1.000000,-4.218564,-1.403122,1.000000
266,2,0.627937,3.744094,1.000000,-1.528101,-2.791915,1.000000
267,2,-1.280212,3.468774,1.000000,-1.316858,-2.432364,1.000000
268,2,0.471362,2.180102,1.000000,4.107638,-2.935787,1.000000
269,2,0.350043,3.168919,1.000000,4.359269,-3.763924,1.000000
270,2,-3.851742,3.775904,1.000000,-0.481553,-3.456985,1.000000
271,2,-3.083912,-1.309580,1.000000,0.487524,3.814831,1.000000
272,2,-3.426058,-1.753725,1.000000,3.659577,-3.481749,1.000000
273,2,-0.501791,-3.596863,1.000000,-0.792282,4.124204,1.000000
274,2,-1.570324,-2.435268,1.000000,-3.972042,1.886547,1.000000
275,2,2.679612,-3.755601,1.000000,-0.117004,3.509167,1.000000
276,2,-0.457294,4.262105,1.000000,-4.386963,-1.688178,1.000000
277,2,0.889066,2.528418,1.000000,-1.278753,-2.001350,1.000000
278,2,-0.237803,3.242230,1.000000,-0.748071,-2.823707,1.000000
279,2,-2.456825,-1.855223,1.000000,0.759920,1.972794,1.000000
280,2,-3.908031,-2.278430,1.000000,-3.846404,3.482061,1.000000
281,2,-1.027183,-3.866560,1.000000,-1.297468,3.457731,1.000000
282,2,-1.677724,2.493352,1.000000,-1.245455,-2.358737,1.000000
283,2,-0.347700,-3.791559,1.000000,-4.409337,2.278180,1.000000
284,2,-1.371670,-3.653314,1.000000,-3.187716,4.053480,1.000000
285,2,-0.569804,3.305322,1.000000,-1.125346,-3.683670,1.000000
286,2,-2.546051,-1.482116,1.000000,3.315059,-3.797332,1.000000
287,2,1.354375,2.980708,1.000000,0.624541,-3.337139,1.000000
288,2,-3.343355,-1.769335,1.000000,-3.428161,2.889713,1.000000
289,2,0.958941,-3.080968,1.000000,-3.737531,3.321004,1.000000
290,2,-3.094613,-1.157511,1.000000,-3.359134,3.032264,1.000000
291,2,3.109157,-4.395158,1.000000,-3.572437,-1.955292,1.000000
292,2,-0.030856,1.397811,1.000000,-1.708978,-2.790952,1.000000
293,2,-1.739006,2.522965,1.000000,-1.108052,-3.037203,1.000000
294,2,-3.232698,-1.950467,1.000000,-0.468611,4.056835,1.000000
295,2,-3.923830,2.184601,1.000000,0.979501,2.481096,1.000000
296,2,-4.121277,3.703622,1.000000,-0.047476,2.064361,1.000000
297,2,0.802395,-4.142351,1.000000,-3.128001,-2.311396,1.000000
298,2,2.602233,-4.263850,1.000000,-1.842472,3.568440,1.000000
299,2,0.772077,-3.708644,1.000000,-4.490265,2.114213,1.000000
300,3,-0.457213,-4.386360,1.000000,1.096127,2.603104,1.000000
